"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MS4A1",2.58453817781718e-12,8.46257920458623,0.053,0.001,5.16907635563436e-09
"FDCSP",0,7.83062532839187,0.865,0.012,0
"CCL19",0,7.20473455169152,0.866,0.02,0
"CCL21",0,6.99172130020147,0.866,0.021,0
"CD79B",8.82040780847881e-173,6.69755824104838,0.548,0.029,1.76408156169576e-169
"HLA-DRB5",3.46105905927535e-11,6.64313312727625,0.05,0.002,6.9221181185507e-08
"HLA-DRA",4.35175141230759e-252,6.56295348094506,0.827,0.035,8.70350282461518e-249
"VPREB3",1.32067210931531e-29,6.47392754017569,0.144,0.012,2.64134421863061e-26
"TCL1A",3.44714576816963e-56,6.41717235975451,0.254,0.024,6.89429153633927e-53
"CXCL13",0,6.40986838806319,0.866,0.018,0
"RCSD1",0,6.32475815754974,0.896,0.009,0
"CD79A",0,6.12530557948133,0.808,0.027,0
"IGLL1",1.88176954906409e-295,6.12334592280525,0.743,0.025,3.76353909812819e-292
"HLA-DQA1",2.42954033101539e-243,5.87740750148403,0.646,0.002,4.85908066203078e-240
"HAS1",0,5.86288212399652,0.839,0.02,0
"IL1RN",0,5.69019836324346,0.773,0,0
"GAPT",3.07669431355124e-247,5.52621326068796,0.652,0.002,6.15338862710248e-244
"REG1B",8.01541788233577e-51,5.51588055423016,0.278,0.008,1.60308357646715e-47
"HIST1H1D",8.34322938382635e-270,5.41093947674882,0.7,0.016,1.66864587676527e-266
"NCF1",0,5.38620079563063,0.929,0.009,0
"KIF25-AS1",9.1605072063347e-316,5.37956712641387,0.749,0.004,1.83210144126694e-312
"SLAMF7",2.44119246436134e-228,5.37748884876266,0.618,0,4.88238492872268e-225
"VPREB1",8.05671830501466e-40,5.35800806495127,0.205,0.027,1.61134366100293e-36
"PNLIP",1.05742800596199e-41,5.1943155259382,0.296,0.012,2.11485601192398e-38
"PPP1R14A",0,5.03682654077338,0.915,0.024,0
"HLA-DRB1",0,5.02579471022395,0.952,0.033,0
"IKZF1",1.24388246032168e-287,5.01776009851913,0.732,0.027,2.48776492064336e-284
"PTGDS",0,4.99975569977063,0.865,0.02,0
"SERPINA3",1.57237521641597e-286,4.95244422855406,0.711,0.012,3.14475043283194e-283
"CYBB",1.35148613236814e-291,4.90569977332229,0.724,0.02,2.70297226473628e-288
"PSMB9",4.69245796810819e-210,4.90124105096285,0.782,0.017,9.38491593621638e-207
"IFI16",0,4.87227313360539,0.967,0.051,0
"CD52",7.91479829844353e-82,4.84205661894911,0.35,0.028,1.58295965968871e-78
"C3",0,4.83727306426346,0.862,0.021,0
"CCL7",0,4.83407822071617,0.841,0.02,0
"FAM110D",0,4.78800973070903,0.843,0.022,0
"PDZK1IP1",1.95068412489756e-162,4.76495781082823,0.704,0.018,3.90136824979513e-159
"HLA-DPA1",3.36393213014644e-155,4.76292730006732,0.71,0.016,6.72786426029289e-152
"IL6",0,4.75414043480215,0.865,0.022,0
"ICAM1",0,4.74749147239581,0.865,0.032,0
"LST1",1.80981616721757e-250,4.72198608825239,0.667,0.021,3.61963233443514e-247
"SALL3",5.86708842844914e-299,4.70811076278044,0.725,0,1.17341768568983e-295
"MPEG1",6.8346647865393e-233,4.69042717138892,0.637,0.02,1.36693295730786e-229
"KYNU",1.08389546173641e-226,4.63484105400599,0.617,0.001,2.16779092347282e-223
"CSF3",9.81474682651546e-298,4.63213791316245,0.74,0.022,1.96294936530309e-294
"CCL4",7.56293509957477e-245,4.58224678036343,0.66,0.022,1.51258701991495e-241
"SERPINB2",5.60594246535998e-313,4.54902301298366,0.754,0.021,1.121188493072e-309
"ESM1",0,4.5153238638207,0.86,0.014,0
"CCL8",6.16175299669445e-303,4.51182741679131,0.737,0.016,1.23235059933889e-299
"CCL4L2",9.28744826874787e-270,4.43337990983006,0.685,0.001,1.85748965374957e-266
"PDPN",0,4.41266668965543,0.824,0.02,0
"PHOX2B",7.78150139843708e-32,4.39495114122394,0.143,0.007,1.55630027968742e-28
"RSPO3",0,4.39235963243831,0.866,0.023,0
"PTGS2",0,4.34731558346414,0.867,0.036,0
"CD74",0,4.31687962362175,0.976,0.101,0
"IFIT3",1.08793255214242e-320,4.31468339374764,0.838,0.028,2.17586510428485e-317
"DAPP1",1.82131231951926e-238,4.29388344711154,0.64,0.003,3.64262463903853e-235
"LCP1",0,4.2764293029282,0.816,0.032,0
"CCL11",0,4.27423519808817,0.858,0.018,0
"CTSS",0,4.26678543427046,0.893,0.028,0
"PRRX1",0,4.25407697917617,0.866,0.029,0
"CCL3L1",0,4.25330152886079,0.827,0.001,0
"CD53",0,4.2279718265865,0.925,0.025,0
"MUC13",6.66927992814574e-15,4.15367716919902,0.353,0.007,1.33385598562915e-11
"HIST1H3B",0,4.09328449153731,0.866,0.018,0
"LDLRAD4",3.69245879318193e-212,4.07708806655988,0.78,0.029,7.38491758636385e-209
"ITGB2",3.48852680567161e-231,4.07595377207161,0.624,0.001,6.97705361134322e-228
"IL3RA",0,4.06346544271902,0.867,0.025,0
"CCR7",0,4.04810674824271,0.799,0.025,0
"GNG11",9.88131291682493e-323,4.01806631574779,0.846,0.032,1.97626258336499e-319
"LINC01099",0,4.01224753301075,0.768,0,0
"LRG1",2.16268968415264e-168,3.9930939249746,0.711,0.021,4.32537936830527e-165
"MEF2C",0,3.98875426768988,0.939,0.045,0
"IL1B",0,3.95757088247921,0.868,0.024,0
