"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"KCNMA1",3.29107184722073e-36,9.87816745891523,0.611,0.143,6.58214369444145e-33
"VTN",1.30991742334313e-78,9.68143474997488,0.533,0.014,2.61983484668626e-75
"VPREB3",1.03837492996926e-11,9.18302889176408,0.144,0,2.07674985993853e-08
"FEV",9.68169816879255e-07,8.77773374812929,0.282,0,0.00193633963375851
"RCSD1",1.41389239465741e-143,8.39256790221311,0.896,0.011,2.82778478931481e-140
"CD79A",2.17518322925315e-118,8.16854510997888,0.808,0,4.35036645850629e-115
"VPREB1",5.06450834862381e-109,7.92231385353994,0.205,0.961,1.01290166972476e-105
"EFNA1",4.32649683315422e-86,7.72975574787893,0.727,0.38,8.65299366630844e-83
"MAP1LC3A",1.58627410642113e-90,7.44391159012627,0.809,0.258,3.17254821284226e-87
"IL13RA2",1.70037939725374e-08,7.39765139064985,0.407,0,3.40075879450749e-05
"ISL1",1.01847530171833e-70,7.36120624589216,0.759,0.581,2.03695060343666e-67
"IGLL1",5.1776452225241e-46,7.21034204758569,0.743,0.961,1.03552904450482e-42
"METRN",5.45141693590567e-12,7.20777457643571,0.54,0.373,1.09028338718113e-08
"HLA-A",1.95769098698877e-117,7.16008758948714,0.898,0.416,3.91538197397754e-114
"RAB3B",4.8328031397744e-38,7.09009770582863,0.599,0.022,9.6656062795488e-35
"TCL1A",3.23295504554293e-66,6.83618863741678,0.254,0.961,6.46591009108586e-63
"TSHZ2",2.11158595140854e-165,6.81063357000044,0.867,0.111,4.22317190281707e-162
"EEF1A2",2.53942171064236e-26,6.763644206314,0.559,0.061,5.07884342128473e-23
"ARPP21",8.42616064951797e-101,6.71044319796278,0.886,0.961,1.68523212990359e-97
"SOCS2",1.39556580524746e-168,6.57631512027164,0.886,0.05,2.79113161049493e-165
"HLA-DRA",1.50835022094601e-41,6.54936235786835,0.827,0.961,3.01670044189202e-38
"LTB",7.34862232888122e-06,6.48868304021676,0.491,0.964,0.0146972446577624
"SERTAD4-AS1",3.37129488464816e-102,6.44177600972745,0.743,0,6.74258976929632e-99
"NCF1",3.73592114421199e-130,6.43753752621631,0.929,0.964,7.47184228842397e-127
"ARID5B",1.78138654100799e-136,6.39892403475552,0.872,0.14,3.56277308201598e-133
"HIST1H1D",2.04445259033891e-86,6.36119465937955,0.7,0.05,4.08890518067782e-83
"TCEAL5",9.10403900601215e-90,6.33195868682126,0.826,0.749,1.82080780120243e-86
"DPP4",3.75683614242837e-13,6.23705800382818,0.488,0.004,7.51367228485675e-10
"PYY",1.11513376243428e-59,6.19411798237608,0.776,0.918,2.23026752486856e-56
"CSF3",1.14884230879746e-100,6.18687313538501,0.74,0,2.29768461759491e-97
"SEMA3E",5.53450871598509e-08,6.10841545026062,0.261,0.011,0.000110690174319702
"IKZF1",2.42577181723525e-97,6.0988848010975,0.732,0.004,4.85154363447051e-94
"NCOA7",2.5519841754353e-113,5.97637332664522,0.854,0.168,5.1039683508706e-110
"MX1",7.07613731656892e-19,5.84937681427417,0.579,0.025,1.41522746331378e-15
"CD52",1.45425768546096e-20,5.74959977971077,0.35,0.964,2.90851537092191e-17
"HLA-DQA1",1.16672154119294e-79,5.74664112237615,0.646,0,2.33344308238588e-76
"BHLHE41",3.18330971371483e-72,5.71999867820106,0.729,0.104,6.36661942742966e-69
"KCNH2",5.54414430482499e-09,5.71219658554502,0.287,0.154,1.108828860965e-05
"ASGR1",1.06790260823301e-156,5.6779505747712,0.856,0.097,2.13580521646601e-153
"HLA-DPA1",1.14906649296151e-24,5.66890992142949,0.71,0.961,2.29813298592302e-21
"CYP1B1",5.68928119993201e-161,5.56670626388109,0.842,0.018,1.1378562399864e-157
"NEUROD1",2.45202641044281e-05,5.54754981320421,0.585,0.961,0.0490405282088562
"HES5",2.00164010881257e-44,5.53052577242681,0.72,0.835,4.00328021762514e-41
"GAPT",1.39468013926603e-79,5.41920933181586,0.652,0.004,2.78936027853206e-76
