"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"VTN",7.84394764378722e-201,12.2479915088356,0.053,0.014,1.56878952875744e-197
"KCNMA1",9.21718401276883e-113,11.848299101865,0.646,0.143,1.84343680255377e-109
"IL13RA2",3.45776268450883e-190,9.97354258646354,0.132,0,6.91552536901766e-187
"ISL1",1.22085386328452e-59,9.94920293018218,0.699,0.581,2.44170772656904e-56
"FEV",2.40138353129997e-159,9.65790195711462,0.196,0,4.80276706259994e-156
"PYY",4.14535598964075e-71,9.59328872109945,0.15,0.918,8.29071197928151e-68
"MAP1LC3A",2.8382239022584e-99,8.63497638815801,0.696,0.258,5.67644780451679e-96
"RAB3B",1.93568537057877e-135,8.45547027661672,0.583,0.022,3.87137074115755e-132
"EEF1A2",3.97561378936271e-127,8.04574790433885,0.573,0.061,7.95122757872542e-124
"TSHZ2",8.85275823330985e-114,8.00093760240133,0.462,0.111,1.77055164666197e-110
"TNFRSF11B",1.61881011514568e-18,7.73658036006275,0.236,0.004,3.23762023029135e-15
"DPP4",6.2267606754592e-163,7.70678498130099,0.185,0.004,1.24535213509184e-159
"NEUROD1",1.00357060360387e-16,7.68444032666015,0.655,0.961,2.00714120720774e-13
"LY6H",5.93123748742866e-08,7.62010593810413,0.383,0.953,0.000118624749748573
"METRN",4.58594238689697e-31,7.42226334682791,0.247,0.373,9.17188477379395e-28
"SEMA3E",5.33425807482808e-172,7.26009268525495,0.133,0.011,1.06685161496562e-168
"LRRN3",1.84992725810787e-118,7.19859682632864,0.247,0.104,3.69985451621574e-115
"NEK9",2.53472707526227e-49,7.16196559521053,0.228,0.964,5.06945415052455e-46
"ARID5B",1.14169505436129e-113,6.89650812955888,0.647,0.14,2.28339010872258e-110
"LRRC4C",1.08894998283352e-132,6.88724562530697,0.18,0.082,2.17789996566703e-129
"C16orf45",5.34423956477395e-96,6.81864765391084,0.151,0.154,1.06884791295479e-92
"BHLHE41",2.53689392090179e-124,6.80125288590951,0.107,0.104,5.07378784180358e-121
"SOX9",3.06884449974186e-116,6.7589449696188,0.395,0.097,6.13768899948372e-113
"EGR4",1.03330067040835e-43,6.70905129245563,0.241,0.961,2.0666013408167e-40
"STMN4",2.69610825546557e-10,6.69781274858322,0.129,0,5.39221651093114e-07
"CYB5D2",2.57749010896964e-125,6.63541772856953,0.235,0.079,5.15498021793928e-122
"EFNA1",2.45684155936902e-21,6.51156519137974,0.162,0.38,4.91368311873804e-18
"KCNH2",7.67868555108978e-93,6.51003216503142,0.187,0.154,1.53573711021796e-89
"SDCBP2",5.72846315206352e-194,6.46197848095839,0.103,0.004,1.1456926304127e-190
"TUBA1A",8.57824784752003e-127,6.28632456297951,0.973,0.964,1.71564956950401e-123
"HOOK2",1.33618487072132e-145,6.11415714347202,0.222,0.039,2.67236974144263e-142
"ADAMTS5",2.33166452835135e-56,6.1015224277128,0.211,0.961,4.6633290567027e-53
"ASGR1",3.5137178744361e-129,6.06632694385161,0.135,0.097,7.02743574887221e-126
"HLA-A",2.10077877472363e-53,6.04617406680302,0.535,0.416,4.20155754944725e-50
"TMEM190",1.89963401456939e-17,5.87757171921358,0.332,0.961,3.79926802913878e-14
"ARX",3.03595390466016e-08,5.83453809824873,0.385,0.961,6.07190780932032e-05
"CNNM1",1.28164605050461e-65,5.78819718200407,0.168,0.928,2.56329210100921e-62
"NDRG4",7.64401363806381e-09,5.74860685911117,0.378,0.957,1.52880272761276e-05
"DCLK1",2.11349132192903e-91,5.66960506290081,0.149,0.961,4.22698264385806e-88
"SLC30A8",9.18379090873363e-23,5.66286476547126,0.308,0.961,1.83675818174673e-19
"VAMP2",4.81300762229302e-91,5.64852072638474,0.777,0.434,9.62601524458603e-88
"TUBB2B",7.03393621316763e-08,5.62988830832592,0.597,0.961,0.000140678724263353
"DKK3",1.7914153707775e-84,5.62755350911952,0.158,0.961,3.58283074155499e-81
